"Carimbo de data/hora","Qual sua idade?","Qual seu gênero?","Em qual estado você mora? Ou morou maior parte da sua vida ","Qual sua escolaridade?","Você já experimentou alguma comida peruana?","Você sabia que o milho faz parte da base da alimentação dessa região?","Quais dessas opções você acha que são comidas clássicas da culinária peruanas ?","Na sua opinião existe espaço no Brasil para comida de outros países?","Quais os dois tipos de milho que são muito usados no Peru? ","Você acha que existe alguma comida brasileira com influência da culinária peruana? Se sim, qual ? ","Na sua opinião as diferentes altitudes e biomas influenciam no desenvolvimento de diversidade de milho, criando assim várias espécies?","",""
"2024/05/16 8:26:20 PM GMT-3","18 a 30","Feminino","Distrito Federal (DF)","Superior incompleto","Sim","Sim","Chicha morada;Ceviche","Sim","Milho roxo e milho torrado","Não","Sim","",""
"2024/05/16 8:27:55 PM GMT-3","18 a 30","Feminino","Distrito Federal (DF)","Superior completo","Não sei dizer","Sim","Chicha morada;Ceviche","Sim","Milho roxo e milho amarelo","Não","Sim","",""
"2024/05/16 9:51:52 PM GMT-3","18 a 30","Feminino","São Paulo (SP)","Superior incompleto","Sim","Sim","Chicha morada;Ceviche","Sim","Milho roxo e milho torrado","Não","Sim","",""
"2024/05/16 10:27:02 PM GMT-3","18 a 30","Feminino","Mato Grosso (MT)","Superior incompleto","Não","Não","Chicha morada;Ceviche;Tamal","Sim","Milho roxo e milho torrado","Não","Talvez","",""
"2024/05/16 11:05:37 PM GMT-3","18 a 30","Feminino","Goiás (GO)","Superior completo","Sim","Não","Chicha morada;Tamal","Sim","Milho roxo e milho torrado","Não","Sim","",""
"2024/05/17 7:15:13 AM GMT-3","18 a 30","Feminino","Goiás (GO)","Superior completo","Sim","Sim","Ceviche","Sim","Milho amarelo e milho branco","Não","Sim","",""
"2024/05/17 7:59:58 AM GMT-3","18 a 30","Feminino","Goiás (GO)","Superior incompleto","Sim","Sim","Chicha morada;Ceviche;Tamal","Sim","Milho roxo e milho amarelo","Comidas com milho e espetinhos","Sim","",""
"2024/05/17 8:30:21 AM GMT-3","18 a 30","Feminino","Pará (PA)","Superior completo","Não sei dizer","Não","Chicha morada;Choripán","Sim","Milho roxo e milho amarelo","Não","Sim","",""
"2024/05/17 8:41:05 AM GMT-3","18 a 30","Feminino","Goiás (GO)","Superior incompleto","Não","Sim","Choripán","Sim","Milho roxo e milho amarelo","Não","Sim","",""
"2024/05/17 10:48:20 AM GMT-3","31 a 40","Feminino","Mato Grosso (MT)","Superior completo","Não","Não","Chicha morada;Tamal","Sim","Milho roxo e milho amarelo","Não","Sim","",""
"2024/05/17 12:25:44 PM GMT-3","18 a 30","Feminino","Mato Grosso (MT)","Superior completo","Não","Não","Choripán","Sim","Milho roxo e milho amarelo","Não","Sim","",""
"2024/05/17 2:05:38 PM GMT-3","41 a 50","Masculino","Distrito Federal (DF)","Superior completo","Sim","Sim","Ceviche","Sim","Milho roxo e milho amarelo","Não","Sim","",""
"2024/05/17 6:17:52 PM GMT-3","18 a 30","Feminino","Distrito Federal (DF)","Superior incompleto","Sim","Sim","Chicha morada;Ceviche","Sim","Milho roxo e milho amarelo","Com certeza tem, mas nao sei informar qual. ","Sim","",""
"2024/05/18 6:31:26 PM GMT-3","51 a 60","Feminino","Distrito Federal (DF)","Ensino médio completo","Sim","Sim","Chicha morada;Ceviche;Poke;Choripán","Sim","Milho amarelo e milho branco","Não","Sim","",""
"2024/05/20 9:29:47 AM GMT-3","18 a 30","Masculino","Distrito Federal (DF)","Superior incompleto","Sim","Sim","Chicha morada","Sim","Milho roxo e milho amarelo","Não","Sim","",""
"2024/05/20 11:46:22 AM GMT-3","18 a 30","Masculino","Distrito Federal (DF)","Superior incompleto","Sim","Sim","Chicha morada;Ceviche;Tamal","Sim","Milho roxo e milho amarelo","Não","Sim","",""
